DATE,AD_CLIENT_ID,CUSTOM_CHANNEL_NAME,AD_REQUESTS,MATCHED_AD_REQUESTS,AD_REQUESTS_COVERAGE,INDIVIDUAL_AD_IMPRESSIONS,CLICKS,CLICKS_SPAM_RATIO,MATCHED_AD_REQUESTS_CTR,COST_PER_CLICK (USD),EARNINGS (USD),AD_REQUESTS_RPM (USD)
2014-05-13,partner-ebay-at,NULL-BLP-D5,752,343,0.4561,1076,8,0,0.0233,0.46,3.71,4.93
2014-04-15,partner-ebay-at,NULL-BLP-D5,745,408,0.5477,1465,11,0,0.027,0.56,6.16,8.26
2014-05-14,partner-ebay-at,NULL-BLP-D5,631,324,0.5135,1028,8,0,0.0247,0.26,2.10,3.33
2014-04-23,partner-ebay-at,NULL-BLP-D5,579,291,0.5026,947,10,0,0.0344,0.32,3.22,5.57
2014-04-16,partner-ebay-at,NULL-BLP-D5,643,366,0.5692,1150,3,0,0.0082,0.20,0.61,0.95
2014-04-17,partner-ebay-at,NULL-BLP-D5,503,278,0.5527,884,5,0,0.018,0.44,2.18,4.34
2014-04-18,partner-ebay-at,NULL-BLP-D5,499,291,0.5832,991,5,0,0.0172,0.13,0.63,1.27
2014-06-11,partner-ebay-at,NULL-BLP-D5,577,291,0.5043,908,6,0,0.0206,0.44,2.64,4.57
2014-04-19,partner-ebay-at,NULL-BLP-D5,478,287,0.6004,896,4,0,0.0139,0.35,1.39,2.92
2014-04-20,partner-ebay-at,NULL-BLP-D5,573,338,0.5899,1144,5,0,0.0148,0.38,1.90,3.31
2014-04-21,partner-ebay-at,NULL-BLP-D5,724,403,0.5566,1322,8,0.1111,0.0199,0.26,2.04,2.82
2014-06-10,partner-ebay-at,NULL-BLP-D5,536,277,0.5168,850,6,0,0.0217,0.38,2.26,4.22
2014-04-22,partner-ebay-at,NULL-BLP-D5,685,312,0.4555,1032,4,0,0.0128,0.29,1.18,1.72
2014-05-29,partner-ebay-at,NULL-BLP-D5,751,441,0.5872,1446,13,0,0.0295,0.31,4.03,5.37
2014-04-24,partner-ebay-at,NULL-BLP-D5,614,338,0.5505,1023,8,0,0.0237,0.30,2.38,3.87
2014-06-09,partner-ebay-at,NULL-BLP-D5,589,328,0.5569,1096,3,0,0.0091,0.24,0.73,1.25
2014-04-25,partner-ebay-at,NULL-BLP-D5,546,300,0.5495,981,4,0,0.0133,0.32,1.27,2.33
2014-04-26,partner-ebay-at,NULL-BLP-D5,586,335,0.5717,1073,13,0,0.0388,0.23,2.94,5.01
2014-04-27,partner-ebay-at,NULL-BLP-D5,787,447,0.568,1376,12,0,0.0268,0.40,4.79,6.08
2014-06-08,partner-ebay-at,NULL-BLP-D5,504,301,0.5972,821,6,0,0.0199,0.61,3.65,7.24
2014-04-28,partner-ebay-at,NULL-BLP-D5,678,348,0.5133,1102,7,0,0.0201,0.33,2.34,3.45
2014-04-29,partner-ebay-at,NULL-BLP-D5,698,320,0.4585,1037,7,0.125,0.0219,0.50,3.47,4.98
2014-04-30,partner-ebay-at,NULL-BLP-D5,571,264,0.4623,919,11,0,0.0417,0.26,2.87,5.03
2014-05-15,partner-ebay-at,NULL-BLP-D5,635,342,0.5386,1081,12,0,0.0351,0.28,3.35,5.28
2014-05-23,partner-ebay-at,NULL-BLP-D5,503,235,0.4672,721,4,0,0.017,0.87,3.50,6.96
2014-05-22,partner-ebay-at,NULL-BLP-D5,637,377,0.5918,1037,4,0,0.0106,0.55,2.19,3.45
2014-05-31,partner-ebay-at,NULL-BLP-D5,468,234,0.5,797,14,0,0.0598,0.51,7.10,15.18
2014-05-24,partner-ebay-at,NULL-BLP-D5,470,212,0.4511,721,2,0,0.0094,0.67,1.34,2.84
2014-05-21,partner-ebay-at,NULL-BLP-D5,668,334,0.5,1029,7,0,0.021,0.73,5.09,7.62
2014-05-30,partner-ebay-at,NULL-BLP-D5,597,320,0.536,1037,7,0,0.0219,0.55,3.87,6.49
2014-05-20,partner-ebay-at,NULL-BLP-D5,599,304,0.5075,956,4,0,0.0132,0.20,0.82,1.37
2014-05-25,partner-ebay-at,NULL-BLP-D5,660,297,0.45,892,8,0,0.0269,0.35,2.84,4.30
2014-05-19,partner-ebay-at,NULL-BLP-D5,739,386,0.5223,1063,3,0,0.0078,0.37,1.12,1.51
2014-06-01,partner-ebay-at,NULL-BLP-D5,720,403,0.5597,1247,10,0,0.0248,0.33,3.30,4.58
2014-05-26,partner-ebay-at,NULL-BLP-D5,743,357,0.4805,1081,1,0,0.0028,0.07,0.07,0.09
2014-05-18,partner-ebay-at,NULL-BLP-D5,766,458,0.5979,1366,7,0,0.0153,0.38,2.63,3.44
2014-05-27,partner-ebay-at,NULL-BLP-D5,769,391,0.5085,1250,10,0.1667,0.0256,0.37,3.69,4.80
2014-05-17,partner-ebay-at,NULL-BLP-D5,539,276,0.5121,905,10,0,0.0362,0.28,2.81,5.20
2014-06-02,partner-ebay-at,NULL-BLP-D5,668,333,0.4985,1022,4,0,0.012,0.58,2.32,3.47
2014-05-28,partner-ebay-at,NULL-BLP-D5,670,361,0.5388,1041,13,0,0.036,0.39,5.07,7.56
2014-05-16,partner-ebay-at,NULL-BLP-D5,631,452,0.7163,1159,10,0,0.0221,0.45,4.53,7.17
2014-05-23,partner-ebay-at,NULL-SRP-D5,32566,30297,0.9303,141710,1581,0.0088,0.0522,0.25,395.37,12.14
2014-05-30,partner-ebay-at,NULL-SRP-D5,36926,34539,0.9354,162186,1979,0.0115,0.0573,0.26,522.78,14.16
2014-04-17,partner-ebay-at,NULL-SRP-D5,37219,34916,0.9381,164660,1751,0.0096,0.0501,0.25,439.44,11.81
2014-05-24,partner-ebay-at,NULL-SRP-D5,30263,28145,0.93,131347,1563,0.0082,0.0555,0.28,431.07,14.24
2014-04-25,partner-ebay-at,NULL-SRP-D5,35598,33287,0.9351,156871,1864,0.0143,0.056,0.26,478.47,13.44
2014-05-29,partner-ebay-at,NULL-SRP-D5,48274,45132,0.9349,211679,2714,0.0152,0.0601,0.25,673.83,13.96
2014-04-26,partner-ebay-at,NULL-SRP-D5,36757,34567,0.9404,162887,2004,0.0113,0.058,0.25,497.51,13.54
2014-05-28,partner-ebay-at,NULL-SRP-D5,39997,37192,0.9299,173656,2264,0.0139,0.0609,0.27,601.09,15.03
2014-04-16,partner-ebay-at,NULL-SRP-D5,42003,39473,0.9398,185985,2134,0.0139,0.0541,0.23,494.18,11.77
2014-04-27,partner-ebay-at,NULL-SRP-D5,49545,46691,0.9424,221178,2843,0.0094,0.0609,0.23,661.66,13.35
2014-05-14,partner-ebay-at,NULL-SRP-D5,41555,38566,0.9281,180941,2321,0.0128,0.0602,0.23,544.29,13.10
2014-06-08,partner-ebay-at,NULL-SRP-D5,30783,29054,0.9438,136179,1696,0.0151,0.0584,0.29,498.71,16.20
2014-04-15,partner-ebay-at,NULL-SRP-D5,46645,43775,0.9385,206480,2514,0.018,0.0574,0.25,624.14,13.38
2014-06-09,partner-ebay-at,NULL-SRP-D5,37817,35558,0.9403,166844,2090,0.0104,0.0588,0.28,583.11,15.42
2014-04-24,partner-ebay-at,NULL-SRP-D5,37870,35398,0.9347,166485,2001,0.0109,0.0565,0.25,501.22,13.24
2014-04-19,partner-ebay-at,NULL-SRP-D5,35775,33665,0.941,158874,1911,0.0078,0.0568,0.24,461.98,12.91
2014-04-23,partner-ebay-at,NULL-SRP-D5,39044,36568,0.9366,172645,2075,0.0062,0.0567,0.26,534.45,13.69
2014-04-18,partner-ebay-at,NULL-SRP-D5,36251,34016,0.9383,160589,1893,0.0099,0.0557,0.26,483.56,13.34
2014-04-22,partner-ebay-at,NULL-SRP-D5,43371,40705,0.9385,191808,2149,0.0192,0.0528,0.24,515.18,11.88
2014-06-11,partner-ebay-at,NULL-SRP-D5,35605,33276,0.9346,156054,1791,0.0261,0.0538,0.26,461.93,12.97
2014-05-25,partner-ebay-at,NULL-SRP-D5,39139,36608,0.9353,171902,1990,0.0055,0.0544,0.25,499.69,12.77
2014-06-10,partner-ebay-at,NULL-SRP-D5,37327,35013,0.938,164137,1936,0.0158,0.0553,0.29,559.96,15.00
2014-04-21,partner-ebay-at,NULL-SRP-D5,47734,44921,0.9411,212126,2771,0.0093,0.0617,0.25,705.22,14.77
2014-05-26,partner-ebay-at,NULL-SRP-D5,43929,40756,0.9278,191118,2352,0.0097,0.0577,0.25,598.08,13.61
2014-04-20,partner-ebay-at,NULL-SRP-D5,40498,38295,0.9456,181109,2124,0.0079,0.0555,0.26,548.33,13.54
2014-05-27,partner-ebay-at,NULL-SRP-D5,44952,41673,0.9271,194627,2515,0.018,0.0604,0.24,602.19,13.40
2014-06-05,partner-ebay-at,NULL-SRP-D5,37653,35119,0.9327,164178,1904,0.0155,0.0542,0.27,509.03,13.52
2014-05-13,partner-ebay-at,NULL-SRP-D5,43621,40583,0.9304,190746,2388,0.0136,0.0588,0.23,543.85,12.47
2014-05-15,partner-ebay-at,NULL-SRP-D5,42072,39090,0.9291,183126,2205,0.0196,0.0564,0.23,516.62,12.28
2014-06-02,partner-ebay-at,NULL-SRP-D5,41778,38951,0.9323,182270,1948,0.0071,0.05,0.25,496.71,11.89
2014-06-03,partner-ebay-at,NULL-SRP-D5,40809,38081,0.9332,177667,2144,0.0143,0.0563,0.30,634.40,15.55
2014-05-12,partner-ebay-at,NULL-SRP-D5,46560,43252,0.929,203194,2423,0.0102,0.056,0.25,597.50,12.83
2014-05-11,partner-ebay-at,NULL-SRP-D5,50998,47543,0.9323,223954,2978,0.0165,0.0626,0.24,703.65,13.80
2014-05-10,partner-ebay-at,NULL-SRP-D5,31372,29165,0.9297,137087,1668,0.0113,0.0572,0.24,403.36,12.86
2014-05-16,partner-ebay-at,NULL-SRP-D5,40387,37663,0.9326,176541,2259,0.0161,0.06,0.25,574.86,14.23
2014-06-04,partner-ebay-at,NULL-SRP-D5,36178,33760,0.9332,157990,1901,0.013,0.0563,0.27,512.80,14.17
2014-05-09,partner-ebay-at,NULL-SRP-D5,33089,30671,0.9269,144059,1775,0.0166,0.0579,0.24,430.82,13.02
2014-05-17,partner-ebay-at,NULL-SRP-D5,41015,38191,0.9311,179378,2256,0.0114,0.0591,0.22,507.01,12.36
2014-05-08,partner-ebay-at,NULL-SRP-D5,37000,34413,0.9301,161108,1898,0.0196,0.0552,0.24,462.46,12.50
2014-05-07,partner-ebay-at,NULL-SRP-D5,42840,39908,0.9316,187059,2161,0.0083,0.0541,0.24,508.97,11.88
2014-05-18,partner-ebay-at,NULL-SRP-D5,49705,46338,0.9323,217795,2869,0.0103,0.0619,0.24,695.43,13.99
2014-06-01,partner-ebay-at,NULL-SRP-D5,44928,42194,0.9391,198202,2466,0.012,0.0584,0.27,668.81,14.89
2014-05-22,partner-ebay-at,NULL-SRP-D5,34552,31977,0.9255,148764,1615,0.0158,0.0505,0.27,431.71,12.49
2014-05-06,partner-ebay-at,NULL-SRP-D5,37215,34609,0.93,162595,1849,0.0075,0.0534,0.26,474.16,12.74
2014-05-05,partner-ebay-at,NULL-SRP-D5,40579,37912,0.9343,178178,2105,0.0117,0.0555,0.24,509.66,12.56
2014-05-04,partner-ebay-at,NULL-SRP-D5,48362,45392,0.9386,213896,2711,0.0037,0.0597,0.23,618.97,12.80
2014-05-19,partner-ebay-at,NULL-SRP-D5,38895,36129,0.9289,168913,1764,0.0095,0.0488,0.25,446.43,11.48
2014-06-06,partner-ebay-at,NULL-SRP-D5,27685,25981,0.9385,121070,1340,0.0096,0.0516,0.28,379.40,13.70
2014-05-03,partner-ebay-at,NULL-SRP-D5,45652,42801,0.9375,201816,2675,0.0071,0.0625,0.24,632.69,13.86
2014-05-20,partner-ebay-at,NULL-SRP-D5,35135,32607,0.928,152413,1697,0.0088,0.052,0.29,485.93,13.83
2014-05-02,partner-ebay-at,NULL-SRP-D5,36407,34197,0.9393,161533,1813,0.0093,0.053,0.24,435.54,11.96
2014-05-01,partner-ebay-at,NULL-SRP-D5,39122,36758,0.9396,173127,2237,0.008,0.0609,0.24,541.09,13.83
2014-05-21,partner-ebay-at,NULL-SRP-D5,37200,34504,0.9275,160902,1860,0.0148,0.0539,0.25,471.67,12.68
2014-05-31,partner-ebay-at,NULL-SRP-D5,34841,32752,0.94,153784,1866,0.0184,0.057,0.26,481.27,13.81
2014-06-07,partner-ebay-at,NULL-SRP-D5,25168,23652,0.9398,110638,1304,0.0084,0.0551,0.29,371.77,14.77
2014-04-30,partner-ebay-at,NULL-SRP-D5,32287,30290,0.9381,142661,1678,0.0135,0.0554,0.24,395.08,12.24
2014-04-29,partner-ebay-at,NULL-SRP-D5,41308,38727,0.9375,182214,2158,0.0101,0.0557,0.24,516.61,12.51
2014-04-28,partner-ebay-at,NULL-SRP-D5,44030,41227,0.9363,194163,2293,0.0176,0.0556,0.25,583.23,13.25
2014-06-05,partner-ebay-at,WSR-BLP-I5,224078,201867,0.9009,839451,765,0.018,0.0038,0.48,367.93,1.64
2014-06-01,partner-ebay-at,WSR-BLP-I5,295348,269108,0.9112,1144733,1201,0.014,0.0045,0.44,525.53,1.78
2014-05-19,partner-ebay-at,WSR-BLP-I5,220689,199142,0.9024,803796,718,0.0191,0.0036,0.44,313.53,1.42
2014-05-04,partner-ebay-at,WSR-BLP-I5,329454,298473,0.906,1226478,1339,0.0081,0.0045,0.41,555.35,1.69
2014-06-06,partner-ebay-at,WSR-BLP-I5,175205,158999,0.9075,660347,560,0.0278,0.0035,0.56,311.55,1.78
2014-05-01,partner-ebay-at,WSR-BLP-I5,267903,245026,0.9146,1014444,1096,0.0099,0.0045,0.43,471.47,1.76
2014-06-07,partner-ebay-at,WSR-BLP-I5,175123,159823,0.9126,665460,587,0.0034,0.0037,0.50,295.24,1.69
2014-04-25,partner-ebay-at,WSR-BLP-I5,236016,213988,0.9067,891272,955,0.0155,0.0045,0.44,421.47,1.79
2014-05-31,partner-ebay-at,WSR-BLP-I5,231158,212978,0.9214,913735,909,0.0247,0.0043,0.48,435.05,1.88
2014-05-08,partner-ebay-at,WSR-BLP-I5,225207,199475,0.8857,815485,766,0.0167,0.0038,0.42,322.74,1.43
2014-04-22,partner-ebay-at,WSR-BLP-I5,260213,238083,0.915,987759,1115,0.008,0.0047,0.43,476.68,1.83
2014-04-23,partner-ebay-at,WSR-BLP-I5,236724,215373,0.9098,889057,870,0.0091,0.004,0.41,358.11,1.51
2014-04-18,partner-ebay-at,WSR-BLP-I5,252694,230465,0.912,927548,993,0.0293,0.0043,0.43,428.80,1.70
2014-05-05,partner-ebay-at,WSR-BLP-I5,232614,209085,0.8988,860713,822,0.0191,0.0039,0.43,353.60,1.52
2014-04-20,partner-ebay-at,WSR-BLP-I5,295847,272781,0.922,1112068,1114,0.0089,0.0041,0.46,512.44,1.73
2014-04-30,partner-ebay-at,WSR-BLP-I5,218110,198323,0.9093,818179,780,0.0051,0.0039,0.43,334.99,1.54
2014-05-29,partner-ebay-at,WSR-BLP-I5,328955,304247,0.9249,1290950,1343,0.0125,0.0044,0.44,594.95,1.81
2014-04-16,partner-ebay-at,WSR-BLP-I5,272051,244791,0.8998,1002332,1075,0.0138,0.0044,0.42,452.22,1.66
2014-05-27,partner-ebay-at,WSR-BLP-I5,266627,243197,0.9121,1011353,1055,0.0168,0.0043,0.43,452.36,1.70
2014-05-18,partner-ebay-at,WSR-BLP-I5,335768,303991,0.9054,1223655,1250,0.0142,0.0041,0.46,578.35,1.72
2014-06-02,partner-ebay-at,WSR-BLP-I5,229797,208673,0.9081,887296,854,0.0139,0.0041,0.46,394.28,1.72
2014-05-15,partner-ebay-at,WSR-BLP-I5,279230,255868,0.9163,1041635,1111,0.0314,0.0043,0.43,479.48,1.72
2014-05-28,partner-ebay-at,WSR-BLP-I5,265467,242473,0.9134,1019253,1067,0.012,0.0044,0.46,491.47,1.85
2014-05-26,partner-ebay-at,WSR-BLP-I5,241625,219616,0.9089,894902,951,0.0114,0.0043,0.47,450.20,1.86
2014-04-29,partner-ebay-at,WSR-BLP-I5,255614,229702,0.8986,942911,1022,0.0106,0.0044,0.43,439.85,1.72
2014-05-09,partner-ebay-at,WSR-BLP-I5,228118,205601,0.9013,833346,839,0.0129,0.0041,0.44,372.85,1.63
2014-05-02,partner-ebay-at,WSR-BLP-I5,239249,217659,0.9098,914357,835,0.0279,0.0038,0.45,373.55,1.56
2014-04-17,partner-ebay-at,WSR-BLP-I5,244187,221010,0.9051,902326,841,0.0187,0.0038,0.48,402.06,1.65
2014-05-24,partner-ebay-at,WSR-BLP-I5,212820,194388,0.9134,799086,811,0.0025,0.0042,0.47,383.01,1.80
2014-05-11,partner-ebay-at,WSR-BLP-I5,359572,324337,0.902,1303727,1392,0.01,0.0043,0.41,576.07,1.60
2014-05-12,partner-ebay-at,WSR-BLP-I5,271120,240098,0.8856,976192,1042,0.0179,0.0043,0.43,443.42,1.64
2014-06-09,partner-ebay-at,WSR-BLP-I5,234193,215280,0.9192,886623,1036,0.0086,0.0048,0.50,521.01,2.22
2014-06-11,partner-ebay-at,WSR-BLP-I5,198862,179596,0.9031,738830,769,0.0229,0.0043,0.47,364.31,1.83
2014-04-19,partner-ebay-at,WSR-BLP-I5,264288,245906,0.9304,1015301,993,0.0369,0.004,0.47,462.61,1.75
2014-05-07,partner-ebay-at,WSR-BLP-I5,267747,241444,0.9018,985281,1020,0.0058,0.0042,0.43,436.88,1.63
2014-04-24,partner-ebay-at,WSR-BLP-I5,233561,212073,0.908,872475,829,0.0084,0.0039,0.42,350.22,1.50
2014-05-14,partner-ebay-at,WSR-BLP-I5,258505,233497,0.9033,961570,1132,0.0096,0.0048,0.42,470.41,1.82
2014-04-27,partner-ebay-at,WSR-BLP-I5,331781,304080,0.9165,1254065,1429,0.0138,0.0047,0.41,588.73,1.77
2014-06-08,partner-ebay-at,WSR-BLP-I5,221508,200430,0.9048,819286,805,0.0231,0.004,0.53,422.70,1.91
2014-05-17,partner-ebay-at,WSR-BLP-I5,288392,266070,0.9226,1084169,1067,0.0256,0.004,0.44,468.27,1.62
2014-05-20,partner-ebay-at,WSR-BLP-I5,201493,184409,0.9152,757477,709,0.018,0.0038,0.47,334.74,1.66
2014-04-21,partner-ebay-at,WSR-BLP-I5,328185,302344,0.9213,1217174,1574,0.0175,0.0052,0.44,686.79,2.09
2014-05-16,partner-ebay-at,WSR-BLP-I5,284060,260924,0.9186,1053764,1119,0.0115,0.0043,0.44,494.43,1.74
2014-05-22,partner-ebay-at,WSR-BLP-I5,208525,191261,0.9172,791170,754,0.0105,0.0039,0.47,356.89,1.71
2014-04-28,partner-ebay-at,WSR-BLP-I5,262165,239151,0.9122,980342,1018,0.0078,0.0043,0.40,411.42,1.57
2014-04-26,partner-ebay-at,WSR-BLP-I5,256734,235787,0.9184,972004,1012,0.0184,0.0043,0.44,448.40,1.75
2014-05-30,partner-ebay-at,WSR-BLP-I5,236609,216455,0.9148,924495,946,0.0084,0.0044,0.45,427.69,1.81
2014-05-25,partner-ebay-at,WSR-BLP-I5,253832,230194,0.9069,931733,872,0.008,0.0038,0.46,404.48,1.59
2014-05-03,partner-ebay-at,WSR-BLP-I5,324580,295112,0.9092,1213870,1439,0.0164,0.0049,0.41,582.82,1.80
2014-05-21,partner-ebay-at,WSR-BLP-I5,215798,197584,0.9156,816033,761,0.0193,0.0039,0.49,370.59,1.72
2014-06-10,partner-ebay-at,WSR-BLP-I5,199448,178558,0.8953,746156,778,0.0114,0.0044,0.50,389.81,1.95
2014-05-10,partner-ebay-at,WSR-BLP-I5,225111,205276,0.9119,839790,715,0.0124,0.0035,0.47,333.31,1.48
2014-06-04,partner-ebay-at,WSR-BLP-I5,212512,191507,0.9012,793763,722,0.0163,0.0038,0.47,336.48,1.58
2014-05-06,partner-ebay-at,WSR-BLP-I5,226301,204952,0.9057,838096,783,0.0151,0.0038,0.44,348.41,1.54
2014-05-13,partner-ebay-at,WSR-BLP-I5,277307,249271,0.8989,1027941,1207,0.0211,0.0048,0.40,480.17,1.73
2014-04-15,partner-ebay-at,WSR-BLP-I5,292591,265414,0.9071,1094593,1228,0.02,0.0046,0.43,524.43,1.79
2014-06-03,partner-ebay-at,WSR-BLP-I5,226393,203934,0.9008,844540,807,0.0159,0.004,0.44,356.99,1.58
2014-05-23,partner-ebay-at,WSR-BLP-I5,214064,193238,0.9027,803609,788,0.0199,0.0041,0.52,408.93,1.91
2014-06-02,partner-ebay-at,WSR-SRP-I5,476875,440611,0.924,1945733,3983,0.0095,0.009,0.32,1284.55,2.69
2014-05-27,partner-ebay-at,WSR-SRP-I5,528292,486026,0.92,2137093,4983,0.016,0.0103,0.32,1581.27,2.99
2014-05-02,partner-ebay-at,WSR-SRP-I5,454209,420410,0.9256,1851013,4272,0.0079,0.0102,0.31,1324.12,2.92
2014-05-24,partner-ebay-at,WSR-SRP-I5,377872,347005,0.9183,1524371,3234,0.0107,0.0093,0.34,1107.55,2.93
2014-04-17,partner-ebay-at,WSR-SRP-I5,460729,420980,0.9137,1849980,4004,0.0148,0.0095,0.31,1249.83,2.71
2014-05-15,partner-ebay-at,WSR-SRP-I5,529852,487441,0.92,2135703,4563,0.0104,0.0094,0.31,1421.75,2.68
2014-04-29,partner-ebay-at,WSR-SRP-I5,509874,471297,0.9243,2074076,5048,0.0108,0.0107,0.32,1614.82,3.17
2014-05-22,partner-ebay-at,WSR-SRP-I5,404382,370527,0.9163,1631139,3201,0.0154,0.0086,0.34,1092.58,2.70
2014-04-27,partner-ebay-at,WSR-SRP-I5,621862,574229,0.9234,2541732,6444,0.0132,0.0112,0.29,1898.74,3.05
2014-05-01,partner-ebay-at,WSR-SRP-I5,502377,465376,0.9263,2052520,4959,0.0094,0.0107,0.33,1625.25,3.24
2014-05-16,partner-ebay-at,WSR-SRP-I5,513772,472430,0.9195,2062264,4608,0.0122,0.0098,0.31,1419.65,2.76
2014-05-05,partner-ebay-at,WSR-SRP-I5,484846,447331,0.9226,1962957,4433,0.0098,0.0099,0.30,1328.13,2.74
2014-06-05,partner-ebay-at,WSR-SRP-I5,450568,411347,0.913,1798742,3867,0.0133,0.0094,0.32,1235.16,2.74
2014-05-06,partner-ebay-at,WSR-SRP-I5,451282,415849,0.9215,1823458,4147,0.0112,0.01,0.33,1362.51,3.02
2014-06-03,partner-ebay-at,WSR-SRP-I5,478040,435975,0.912,1900491,4122,0.0106,0.0095,0.32,1338.12,2.80
2014-06-07,partner-ebay-at,WSR-SRP-I5,316890,289337,0.9131,1263354,2566,0.0112,0.0089,0.35,892.74,2.82
2014-04-30,partner-ebay-at,WSR-SRP-I5,410719,378736,0.9221,1663790,3673,0.0121,0.0097,0.30,1119.42,2.73
2014-04-24,partner-ebay-at,WSR-SRP-I5,472521,435117,0.9208,1916870,4149,0.0105,0.0095,0.31,1284.60,2.72
2014-05-12,partner-ebay-at,WSR-SRP-I5,541504,499318,0.9221,2187381,5243,0.0096,0.0105,0.31,1600.45,2.96
2014-05-31,partner-ebay-at,WSR-SRP-I5,446639,413568,0.926,1832783,3965,0.0097,0.0096,0.32,1279.29,2.86
2014-05-17,partner-ebay-at,WSR-SRP-I5,526601,485677,0.9223,2125698,4766,0.0118,0.0098,0.32,1514.64,2.88
2014-04-22,partner-ebay-at,WSR-SRP-I5,523500,483630,0.9238,2132353,5022,0.0114,0.0104,0.31,1571.92,3.00
2014-05-08,partner-ebay-at,WSR-SRP-I5,444687,409307,0.9204,1792636,4063,0.0138,0.0099,0.31,1242.69,2.79
2014-05-29,partner-ebay-at,WSR-SRP-I5,604375,559102,0.9251,2467971,5657,0.0103,0.0101,0.31,1748.36,2.89
2014-04-19,partner-ebay-at,WSR-SRP-I5,461681,425186,0.921,1868195,4253,0.0153,0.01,0.31,1303.38,2.82
2014-06-10,partner-ebay-at,WSR-SRP-I5,426267,391614,0.9187,1724387,3672,0.0129,0.0094,0.34,1254.70,2.94
2014-05-13,partner-ebay-at,WSR-SRP-I5,541545,498682,0.9209,2192158,5285,0.0123,0.0106,0.30,1599.56,2.95
2014-05-19,partner-ebay-at,WSR-SRP-I5,449197,411209,0.9154,1794520,3891,0.0157,0.0095,0.31,1222.18,2.72
2014-05-04,partner-ebay-at,WSR-SRP-I5,618479,573666,0.9275,2532267,6267,0.0149,0.0109,0.30,1891.17,3.06
2014-06-06,partner-ebay-at,WSR-SRP-I5,340285,310561,0.9126,1355774,2544,0.0093,0.0082,0.35,889.46,2.61
2014-04-26,partner-ebay-at,WSR-SRP-I5,469956,434437,0.9244,1922943,4659,0.0096,0.0107,0.31,1454.21,3.09
2014-04-25,partner-ebay-at,WSR-SRP-I5,454970,418724,0.9203,1841815,4216,0.0103,0.0101,0.32,1333.88,2.93
2014-04-23,partner-ebay-at,WSR-SRP-I5,479739,442074,0.9215,1952021,4366,0.0151,0.0099,0.31,1368.55,2.85
2014-04-18,partner-ebay-at,WSR-SRP-I5,459067,420448,0.9159,1836728,4478,0.0137,0.0107,0.31,1390.56,3.03
2014-04-20,partner-ebay-at,WSR-SRP-I5,520630,479598,0.9212,2120173,4611,0.0114,0.0096,0.33,1518.71,2.92
2014-04-16,partner-ebay-at,WSR-SRP-I5,517949,476467,0.9199,2108019,4668,0.0309,0.0098,0.31,1450.60,2.80
2014-05-10,partner-ebay-at,WSR-SRP-I5,408155,376700,0.9229,1649242,3580,0.0119,0.0095,0.31,1106.25,2.71
2014-05-23,partner-ebay-at,WSR-SRP-I5,393595,361083,0.9174,1579756,3380,0.0105,0.0094,0.34,1135.86,2.89
